,title,year,rated,released,runtime,genre,director,actors,plot,awards
10,Not Another Teen Movie,2001,R,14 Dec 2001,89 min,Comedy,Joel Gallen,"Chyler Leigh, Jaime Pressly, Chris Evans",A sendup of all the teen movies that have accumulated in the past two decades.,5 nominations
11,Movie 43,2013,R,25 Jan 2013,94 min,Comedy,"Elizabeth Banks, Steven Brill, Steve Carr","Emma Stone, Stephen Merchant, Richard Gere",A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,4 wins & 5 nominations
12,Epic Movie,2007,PG-13,26 Jan 2007,86 min,"Adventure, Comedy, Fantasy","Jason Friedberg, Aaron Seltzer","Kal Penn, Jennifer Coolidge, Fred Willard","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.",2 wins & 3 nominations
13,The Angry Birds Movie,2016,PG,20 May 2016,97 min,"Animation, Action, Adventure","Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride","When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",3 wins & 8 nominations
14,Jackass: The Movie,2002,R,25 Oct 2002,85 min,"Documentary, Action, Comedy",Jeff Tremaine,"Johnny Knoxville, Bam Margera, Chris Pontius",Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,1 win & 7 nominations
15,The SpongeBob SquarePants Movie,2004,PG,19 Nov 2004,87 min,"Animation, Adventure, Comedy","Stephen Hillenburg, Mark Osborne","Tom Kenny, Jeffrey Tambor, Rodger Bumpass",SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,1 win & 10 nominations
16,A Silent Voice: The Movie,2016,Not Rated,17 Sep 2016,130 min,"Animation, Drama",Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",6 wins & 9 nominations
17,Disaster Movie,2008,PG-13,29 Aug 2008,87 min,"Comedy, Sci-Fi","Jason Friedberg, Aaron Seltzer","Carmen Electra, Vanessa Lachey, Nicole Parker","Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",1 win & 6 nominations
18,Scary Movie V,2013,PG-13,12 Apr 2013,86 min,"Comedy, Horror","Malcolm D. Lee, David Zucker","Simon Rex, Ashley Tisdale, Charlie Sheen","A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",5 nominations
19,The Lego Movie 2: The Second Part,2019,PG,08 Feb 2019,107 min,"Animation, Action, Adventure",Mike Mitchell,"Chris Pratt, Elizabeth Banks, Will Arnett","It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.",1 win & 16 nominations
20,Superhero Movie,2008,PG-13,28 Mar 2008,75 min,"Action, Comedy, Sci-Fi",Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton","Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",1 win
21,The Emoji Movie,2017,PG,28 Jul 2017,86 min,"Animation, Adventure, Comedy",Tony Leondis,"T.J. Miller, James Corden, Anna Faris","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",6 wins & 4 nominations
22,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,TV-14,23 Apr 2021,117 min,"Animation, Action, Adventure",Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",5 wins & 6 nominations
23,Date Movie,2006,PG-13,17 Feb 2006,83 min,"Comedy, Romance","Aaron Seltzer, Jason Friedberg","Alyson Hannigan, Adam Campbell, Fred Willard","Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",4 wins & 1 nomination
24,A Goofy Movie,1995,G,07 Apr 1995,78 min,"Animation, Adventure, Comedy",Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",5 nominations
25,The SpongeBob Movie: Sponge Out of Water,2015,PG,06 Feb 2015,92 min,"Animation, Adventure, Comedy","Paul Tibbitt, Mike Mitchell","Tom Kenny, Antonio Banderas, Bill Fagerbakke","When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",1 win & 9 nominations
26,Cowboy Bebop: The Movie,2001,TV-14,16 May 2003,115 min,"Animation, Action, Crime","Shin'ichirô Watanabe, Mary Elizabeth McGlynn, Tensai Okamura","Beau Billingslea, Melissa Fahn, Nicholas Guest","A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.",2 nominations
27,The Peanuts Movie,2015,G,06 Nov 2015,88 min,"Animation, Adventure, Comedy",Steve Martino,"Noah Schnapp, Bill Melendez, Hadley Belle Miller","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",2 wins & 48 nominations
28,Pokémon: The First Movie - Mewtwo Strikes Back,1998,G,12 Nov 1999,96 min,"Animation, Action, Adventure",Kunihiko Yuyama,"Veronica Taylor, Rachael Lillis, Eric Stuart","Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.",3 wins & 6 nominations
29,Hannah Montana: The Movie,2009,G,10 Apr 2009,102 min,"Comedy, Drama, Family",Peter Chelsom,"Miley Cyrus, Emily Osment, Billy Ray Cyrus","As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",6 wins & 11 nominations
30,Shaun the Sheep Movie,2015,PG,05 Aug 2015,85 min,"Animation, Adventure, Comedy","Mark Burton, Richard Starzak","Justin Fletcher, John Sparkes, Omid Djalili","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flo...",Nominated for 1 Oscar. 4 wins & 49 nominations total
31,The Transformers: The Movie,1986,PG,08 Aug 1986,84 min,"Animation, Action, Adventure",Nelson Shin,"Orson Welles, Robert Stack, Leonard Nimoy","The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",2 nominations
32,The Lizzie McGuire Movie,2003,PG,02 May 2003,94 min,"Adventure, Comedy, Family",Jim Fall,"Hilary Duff, Adam Lamberg, Clayton Snyder","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",2 wins & 3 nominations
33,Twilight Zone: The Movie,1983,PG,24 Jun 1983,101 min,"Horror, Sci-Fi","Joe Dante, John Landis, George Miller","Dan Aykroyd, Albert Brooks, Vic Morrow","Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.",1 win & 8 nominations
34,The Muppet Movie,1979,G,22 Jun 1979,95 min,"Adventure, Comedy, Family",James Frawley,"Jim Henson, Frank Oz, Jerry Nelson","Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",Nominated for 2 Oscars. 4 wins & 11 nominations total
35,Between Two Ferns: The Movie,2019,TV-MA,20 Sep 2019,82 min,Comedy,Scott Aukerman,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,Nominated for 1 Primetime Emmy. 1 win & 2 nominations total
